Class0_Channel330	Class0_Channel293	Class0_Channel851	Class1_Channel348	Class1_Channel1021	Class1_Channel643	Class2_Channel333	Class2_Channel337	Class2_Channel597	Class3_Channel328	Class3_Channel510	Class3_Channel172	Class4_Channel647	Class4_Channel267	Class4_Channel315	Class5_Channel922	Class5_Channel1094	Class5_Channel1057	Class6_Channel255	Class6_Channel979	Class6_Channel842	
8	10	62	107	64	329	33	47	22	394	196	1	418	249	38	259	20	182	0	131	27	
10	13	78	99	68	299	22	57	36	383	221	1	522	261	25	251	21	148	0	161	36	
11	11	67	91	50	71	32	52	28	320	250	1	560	274	60	291	10	139	0	216	18	
3	10	60	108	57	20	36	49	38	300	300	2	486	262	41	268	14	133	0	226	41	
10	14	72	93	54	18	17	44	24	290	297	3	477	290	51	253	20	89	1	267	39	
6	23	55	94	52	18	42	45	24	242	323	1	418	289	49	100	17	86	1	295	33	
7	26	62	100	45	26	32	39	19	191	343	0	317	371	50	21	21	68	0	287	38	
12	23	69	84	58	19	24	56	22	173	350	1	80	356	50	36	27	12	0	340	43	
5	32	67	78	57	17	32	55	24	148	332	3	30	356	53	27	22	7	3	355	43	
7	50	83	81	64	15	44	61	20	117	351	2	20	320	72	24	22	3	1	353	39	
13	32	57	57	52	24	36	59	21	102	300	2	26	267	67	21	19	12	2	373	40	
12	47	69	70	55	16	33	52	28	78	278	1	15	43	77	28	13	7	2	360	38	
7	55	74	69	59	13	33	49	17	62	306	5	26	29	82	29	22	5	0	320	37	
9	55	62	68	51	12	31	63	24	60	229	2	21	26	83	24	21	8	3	313	48	
10	70	75	69	51	19	39	52	17	47	182	2	25	31	99	29	26	5	3	244	34	
14	66	70	72	56	11	36	48	15	35	190	3	18	27	99	24	24	4	4	213	48	
8	67	67	67	43	7	41	46	15	6	127	8	18	31	79	26	17	7	2	212	46	
11	95	64	71	54	7	35	64	17	0	142	3	24	34	75	31	21	6	3	174	47	
13	87	67	52	45	10	40	48	16	5	144	9	13	19	90	23	33	3	4	99	32	
20	75	70	61	39	8	46	58	15	4	115	6	16	33	102	33	33	6	6	13	39	
18	79	66	49	52	14	35	53	7	4	107	5	20	22	93	30	33	4	7	8	33	
12	82	68	56	59	13	31	62	14	5	84	3	18	27	120	25	31	5	2	17	50	
13	96	63	68	61	11	52	39	15	1	66	4	11	24	84	23	25	2	10	16	49	
26	104	58	57	41	7	38	42	12	1	73	6	16	22	106	35	25	5	4	13	34	
15	102	71	56	50	13	44	56	18	3	53	8	16	25	117	20	24	4	6	12	48	
27	136	43	50	52	9	30	54	8	3	49	7	16	26	129	31	31	3	11	21	37	
25	105	86	46	58	4	33	59	6	4	38	7	17	25	97	15	32	2	5	15	53	
24	114	69	44	51	6	50	74	16	1	28	5	13	16	122	30	29	3	18	4	59	
30	125	68	41	57	3	44	50	10	1	19	4	15	16	127	26	28	2	13	9	54	
28	135	71	47	65	4	35	50	16	3	18	3	14	21	108	27	33	4	15	10	54	
33	111	60	29	70	4	31	64	15	3	17	5	15	29	103	29	19	3	19	8	54	
22	115	68	43	50	7	37	41	13	0	7	12	10	22	124	36	25	1	15	4	45	
26	135	64	39	57	5	38	58	11	4	6	15	8	15	109	23	26	1	22	6	58	
23	128	65	46	61	6	39	48	8	2	3	6	12	22	114	25	36	4	25	12	50	
26	119	49	34	65	5	38	61	10	4	1	8	9	25	112	22	44	6	25	5	56	
37	125	42	37	60	4	39	50	9	2	5	10	9	21	116	38	37	2	34	7	50	
48	136	54	31	64	7	47	44	10	4	3	5	10	15	108	17	31	3	29	5	59	
31	142	66	35	60	5	45	54	10	2	2	17	6	14	117	21	37	2	44	6	46	
37	158	63	21	57	2	42	37	7	0	1	11	9	22	100	20	43	3	37	9	53	
49	140	48	34	57	4	35	41	7	1	1	14	11	17	105	28	25	4	41	9	58	
44	159	44	24	54	7	44	50	18	0	1	12	8	18	104	17	32	2	45	7	53	
46	159	67	35	35	4	39	49	8	2	1	15	8	13	97	27	30	2	38	6	51	
42	165	58	29	70	5	39	41	9	0	1	20	3	9	90	18	26	4	44	5	46	
60	149	42	23	52	7	48	40	9	1	4	14	6	15	89	24	37	2	38	9	55	
57	153	45	31	51	3	47	41	10	3	3	21	7	18	79	15	33	2	46	7	46	
55	134	52	25	54	8	57	47	6	2	0	20	6	13	84	20	31	2	56	7	61	
75	133	50	22	54	1	59	50	10	2	1	21	9	26	90	26	45	6	61	5	63	
60	126	44	17	51	4	42	43	6	0	0	20	8	15	78	16	46	4	55	9	55	
55	142	60	17	46	6	43	44	8	1	0	27	4	11	68	20	40	3	52	5	53	
66	117	49	23	52	4	52	45	6	2	1	25	6	9	60	24	33	2	46	5	53	
68	107	28	26	48	4	42	34	8	0	0	22	3	11	58	17	33	2	51	3	61	
80	103	45	17	39	1	62	38	9	0	2	29	4	16	68	17	50	1	61	5	56	
98	107	46	20	48	4	36	50	10	0	0	34	5	18	57	15	50	4	63	13	52	
91	104	45	14	47	4	47	44	2	3	1	29	5	14	50	12	39	1	54	4	65	
71	87	39	18	45	0	45	31	8	3	1	32	3	12	69	25	35	1	59	10	46	
74	89	33	20	52	6	47	46	11	1	1	21	3	9	50	12	50	5	84	4	46	
91	79	36	17	48	1	48	35	5	3	2	34	4	11	53	23	46	0	77	3	60	
86	69	46	16	48	3	58	43	7	2	1	35	3	9	42	24	36	1	77	3	57	
89	64	31	11	41	3	42	36	7	3	2	31	3	7	46	19	39	4	72	5	49	
91	64	30	13	50	2	53	41	3	0	1	48	4	11	47	24	33	0	62	4	34	
91	53	22	16	36	3	39	36	6	1	0	37	8	5	38	15	51	1	67	3	51	
77	42	20	6	33	0	56	29	6	0	0	45	5	7	33	22	58	2	75	6	44	
87	31	32	15	33	1	55	27	5	1	0	42	4	3	40	12	38	2	78	8	44	
91	40	23	12	35	0	46	36	4	0	0	52	6	6	41	10	46	2	87	2	55	
93	29	25	19	35	1	55	29	4	3	1	49	1	14	27	19	47	1	66	3	64	
89	31	29	14	30	1	56	31	3	1	0	50	4	7	33	21	50	0	83	2	63	
88	15	27	6	43	1	52	36	4	0	1	53	1	7	20	12	51	0	86	3	48	
101	16	29	14	32	3	46	31	8	1	1	57	1	7	29	14	43	3	80	5	62	
79	12	14	13	29	0	53	29	3	0	1	39	1	5	25	17	45	2	66	4	61	
93	6	21	5	30	1	47	22	5	2	2	63	3	7	18	11	54	2	93	5	59	
92	7	16	12	23	2	42	25	5	1	0	54	2	3	27	15	42	2	90	3	52	
109	2	21	8	43	1	57	20	5	0	1	49	4	6	17	14	53	1	99	3	50	
75	0	23	15	23	2	58	27	1	1	1	59	1	6	15	11	39	0	95	1	43	
94	2	17	2	25	0	42	27	4	0	0	58	1	4	16	17	49	0	81	2	51	
90	0	15	11	25	1	38	22	3	1	2	64	0	6	12	16	39	1	77	1	46	
82	1	27	9	17	1	45	25	1	2	0	62	1	4	15	13	50	1	101	2	44	
82	1	21	3	28	1	43	17	3	2	0	75	3	6	18	11	42	0	92	4	48	
85	1	19	12	18	1	40	14	4	1	1	63	2	5	16	8	60	2	96	0	60	
92	0	7	5	19	1	53	17	1	2	0	85	2	4	13	23	44	2	88	1	42	
96	0	11	13	21	2	49	17	2	1	0	53	2	4	7	16	54	0	78	1	51	
80	2	8	1	16	2	29	15	3	0	0	66	1	4	6	8	52	0	94	6	46	
83	1	19	8	23	0	34	17	3	0	0	66	1	1	12	19	37	0	76	1	31	
83	0	8	5	18	1	51	18	1	0	0	87	1	2	11	9	39	2	103	4	34	
99	0	15	3	18	0	40	16	2	0	0	78	1	4	3	12	33	1	85	2	44	
76	0	9	3	12	0	36	13	1	0	0	92	0	2	10	12	51	1	93	2	44	
69	0	13	3	15	0	41	18	2	0	0	73	1	1	7	16	36	0	97	1	33	
75	0	8	1	11	2	40	13	3	0	0	88	1	4	8	14	45	0	95	0	26	
72	0	8	2	14	2	50	14	1	1	1	96	1	4	10	6	35	0	78	0	31	
61	0	13	4	9	1	47	11	0	0	0	91	0	1	4	12	53	1	89	3	28	
54	1	11	3	10	1	33	10	0	0	0	93	0	5	5	11	38	0	82	1	35	
54	0	10	5	9	0	40	11	0	0	1	78	1	4	6	11	35	0	85	1	31	
62	1	4	4	13	0	37	13	3	0	1	88	2	1	3	12	33	0	77	1	49	
53	0	9	5	16	2	42	12	1	0	0	79	1	3	1	7	38	0	65	1	20	
55	0	10	3	7	1	43	9	3	1	0	68	0	2	2	6	38	0	74	1	29	
41	0	3	2	4	1	35	9	1	0	1	92	1	1	5	12	34	0	77	2	29	
49	0	8	1	8	0	37	5	1	0	0	81	0	1	2	4	28	0	73	0	31	
49	1	9	2	11	0	46	10	0	1	1	99	0	1	4	13	43	0	55	1	39	
52	0	6	2	8	0	31	6	1	0	0	93	3	3	4	11	38	0	68	1	28	
45	1	6	2	6	0	33	7	4	2	0	79	0	1	2	9	38	0	67	1	28	
41	0	7	2	11	1	29	10	2	0	0	76	0	1	4	9	29	0	63	0	43	
35	0	4	2	3	0	28	3	0	0	0	101	1	0	0	6	29	1	63	0	22	
38	1	5	2	10	0	40	6	0	0	0	101	0	0	2	12	38	0	49	0	26	
26	0	5	0	6	1	35	4	1	1	1	85	0	0	1	6	34	1	48	2	35	
21	0	7	1	5	0	31	2	2	0	1	96	0	3	2	10	19	0	58	1	25	
27	0	11	0	2	0	25	7	0	0	0	70	1	0	3	11	34	0	42	1	29	
18	0	4	1	4	0	32	5	1	0	0	96	1	2	0	8	26	0	56	0	32	
27	0	3	0	6	1	26	5	0	1	0	89	1	1	0	8	31	0	44	0	23	
20	0	3	1	3	1	25	6	0	0	0	90	2	4	2	8	28	0	52	1	36	
26	0	4	1	2	0	23	4	1	0	0	83	0	0	0	3	32	0	38	1	30	
25	0	6	1	4	0	24	4	2	0	0	80	2	0	1	5	36	0	48	0	24	
19	0	3	1	3	0	27	4	1	0	0	78	0	3	3	4	26	0	48	0	31	
24	0	3	1	6	0	28	6	0	1	0	88	0	1	0	9	25	0	36	0	16	
19	0	10	0	2	0	33	0	0	0	2	56	0	1	1	5	26	0	43	0	18	
9	1	2	2	4	0	23	5	0	1	0	80	0	0	2	3	36	0	34	1	22	
15	1	4	0	3	0	21	3	0	0	0	77	0	2	0	1	23	1	34	0	22	
11	1	4	1	3	0	15	2	0	0	1	66	0	3	1	8	24	0	50	1	17	
10	0	4	0	5	0	14	5	1	0	0	65	1	0	0	3	36	0	27	1	13	
11	0	3	0	2	1	22	5	0	0	0	68	0	0	2	6	13	0	15	0	20	
6	1	5	1	2	0	24	2	0	0	0	56	0	3	1	3	17	0	23	1	13	
9	0	5	1	1	0	14	2	0	0	2	74	0	2	0	2	18	0	31	0	17	
11	0	3	1	1	0	21	3	0	0	0	56	0	0	0	5	27	0	17	2	26	
11	0	5	1	4	0	26	2	1	0	0	52	0	1	0	3	28	0	21	1	13	
6	0	0	1	2	0	24	0	0	0	1	53	0	5	1	7	22	0	18	1	11	
4	0	0	0	2	0	28	3	0	0	0	60	0	1	2	2	25	0	8	0	11	
4	0	7	0	1	0	17	4	2	0	0	51	0	1	1	5	13	1	19	0	17	
4	0	1	0	0	0	18	2	0	0	0	38	0	1	1	5	21	1	14	0	9	
4	0	4	2	0	0	22	1	0	0	0	52	0	0	0	0	9	0	17	0	13	
3	0	3	1	2	0	11	1	0	0	0	54	0	1	2	4	16	0	9	0	14	
4	0	1	0	3	0	16	2	0	0	0	49	0	1	0	1	10	0	11	0	15	
1	0	1	0	4	0	14	2	0	0	1	49	1	0	1	3	11	0	11	0	16	
3	0	2	0	2	0	15	1	1	0	2	34	0	0	1	3	16	0	8	1	17	
5	0	2	1	1	0	16	2	0	0	0	39	0	1	2	1	17	0	13	0	12	
2	0	1	1	1	0	11	3	0	0	0	36	0	1	1	3	8	0	8	1	15	
3	0	2	1	0	0	16	2	1	0	0	38	0	0	0	1	9	0	6	1	12	
3	0	2	1	1	1	9	2	0	0	1	44	0	1	1	0	15	0	7	0	9	
1	0	3	0	3	0	13	0	0	0	0	32	0	1	0	1	15	0	6	1	9	
0	0	2	0	2	0	10	1	0	0	0	21	1	1	0	0	10	0	5	0	8	
1	0	0	0	0	0	9	2	0	0	0	19	0	1	0	2	5	0	3	1	12	
3	0	1	1	1	0	5	1	0	0	0	29	0	1	0	1	3	1	7	1	5	
1	0	0	0	0	0	10	1	1	0	0	22	0	0	0	3	7	0	5	2	6	
0	0	3	0	1	1	6	1	0	0	0	19	0	3	1	0	3	0	2	0	5	
1	0	0	0	0	0	8	0	0	0	0	12	0	0	0	0	4	0	3	0	4	
0	0	1	0	0	0	14	0	0	0	0	21	0	0	0	1	6	0	7	0	6	
1	0	2	0	2	1	6	1	0	0	0	14	0	0	1	1	5	0	4	0	7	
2	0	1	1	0	1	6	0	0	0	0	16	0	0	0	0	4	0	4	0	5	
1	0	1	0	0	0	0	0	2	0	0	12	0	1	1	0	4	0	0	0	11	
1	0	1	1	0	0	4	1	0	0	0	18	0	1	0	3	8	0	1	0	6	
0	0	0	0	0	1	7	2	0	0	0	14	0	0	0	1	2	1	1	0	8	
1	1	0	0	0	0	4	1	0	0	0	5	1	0	0	0	6	0	1	0	7	
0	1	0	0	1	0	3	0	0	0	0	6	0	0	0	0	7	0	1	0	3	
0	0	0	0	0	0	3	1	1	0	0	9	0	0	0	0	4	0	1	0	4	
0	0	1	1	0	0	2	0	0	0	0	5	0	1	0	0	6	0	0	0	3	
0	0	2	0	2	0	2	0	0	0	1	8	0	1	0	1	3	1	1	0	2	
2	0	0	1	0	0	3	1	0	0	0	3	0	0	0	0	3	0	1	0	5	
0	0	1	0	0	1	1	1	0	0	0	2	0	1	0	1	4	0	0	0	2	
0	0	0	1	0	0	5	0	0	0	0	4	0	0	0	0	1	0	0	1	2	
0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	6	0	0	0	3	
0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	0	2	1	1	0	0	3	0	0	0	0	1	0	0	1	1	
0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	4	
0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	2	
1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	
0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	
0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	
0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	2	
0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	1	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	
0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	
0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
